id,utterance,label
deepseek-extra800-00001,Can you name all the planets in order from the sun?,chat
deepseek-extra800-00002,I am stressed about my exam. Any advice?,chat
deepseek-extra800-00003,Place the vase on the table.,motion_query
deepseek-extra800-00004,How many planets are in our solar system?,chat
deepseek-extra800-00005,Raise your arm to the side.,motion_query
deepseek-extra800-00006,I need advice on how to negotiate a salary raise.,chat
deepseek-extra800-00007,Demonstrate how to swing a golf club.,motion_query
deepseek-extra800-00008,Act as if you're smelling a flower.,motion_query
deepseek-extra800-00009,Do you think AI will replace jobs?,chat
deepseek-extra800-00010,Pick up that book.,motion_query
deepseek-extra800-00011,Gesture thumbs up.,motion_query
deepseek-extra800-00012,Why does the sky appear blue?,chat
deepseek-extra800-00013,Lean forward to see the clock.,motion_query
deepseek-extra800-00014,"I have a headache, any remedies?",chat
deepseek-extra800-00015,How do I set up my new phone?,chat
deepseek-extra800-00016,How do you process visual information?,chat
deepseek-extra800-00017,Please describe the dance move rather than showing it.,chat
deepseek-extra800-00018,Shake your head to show disagreement.,motion_query
deepseek-extra800-00019,"I need to plan a dinner party, any ideas?",chat
deepseek-extra800-00020,Can you describe the layout of the museum?,chat
deepseek-extra800-00021,How do you distinguish between objects?,chat
deepseek-extra800-00022,How many people are in this room?,chat
deepseek-extra800-00023,What's the recipe for pancakes?,chat
deepseek-extra800-00024,What time is my appointment?,chat
deepseek-extra800-00025,Turn left.,motion_query
deepseek-extra800-00026,Act out what happened in the story.,motion_query
deepseek-extra800-00027,Move forward two meters and stop.,motion_query
deepseek-extra800-00028,Turn around and face the whiteboard.,motion_query
deepseek-extra800-00029,Place the groceries on the counter.,motion_query
deepseek-extra800-00030,I need advice on managing my time better.,chat
deepseek-extra800-00031,Walk to the door and wait for me.,motion_query
deepseek-extra800-00032,Demonstrate the dance move you learned.,motion_query
deepseek-extra800-00033,Throw the ball back to me.,motion_query
deepseek-extra800-00034,Act out pouring a cup of tea.,motion_query
deepseek-extra800-00035,Can you recommend a recipe for pasta?,chat
deepseek-extra800-00036,Can you help me plan a surprise party?,chat
deepseek-extra800-00037,Answer by raising your arm.,motion_query
deepseek-extra800-00038,Stop moving completely.,motion_query
deepseek-extra800-00039,Can you explain how your sensors work?,chat
deepseek-extra800-00040,Come here and look at this screen.,motion_query
deepseek-extra800-00041,Show me a dance move.,motion_query
deepseek-extra800-00042,Please explain the steps to bake a cake.,chat
deepseek-extra800-00043,Look at the clock and then back at me.,motion_query
deepseek-extra800-00044,Raise your arm to signal the start.,motion_query
deepseek-extra800-00045,Answer with a wave.,motion_query
deepseek-extra800-00046,Reach out your hand for a handshake.,motion_query
deepseek-extra800-00047,What does it mean when someone says 'break a leg'?,chat
deepseek-extra800-00048,Do you like classical music?,chat
deepseek-extra800-00049,I feel a bit down today.,chat
deepseek-extra800-00050,Bend down and pick up the keys.,motion_query
