id,utterance,label
deepseek2000-00001,Tap your foot twice if you hear me.,motion_query
deepseek2000-00002,How do I bake a chocolate cake?,chat
deepseek2000-00003,Can you teach me a new language?,chat
deepseek2000-00004,Nod twice to confirm.,motion_query
deepseek2000-00005,Can you help me plan a trip to Paris?,chat
deepseek2000-00006,What's your favorite book?,chat
deepseek2000-00007,Act out a lion roar.,motion_query
deepseek2000-00008,"I'm feeling a bit down, can you cheer me up?",chat
deepseek2000-00009,Can you tell me how to say 'good morning' in French?,chat
deepseek2000-00010,Unplug the cable from the socket.,motion_query
deepseek2000-00011,Tell me a story about a brave knight.,chat
deepseek2000-00012,What does 'serendipity' mean?,chat
deepseek2000-00013,"Close the window, please.",motion_query
deepseek2000-00014,How do I clean the filter?,chat
deepseek2000-00015,Stand still for a moment.,motion_query
deepseek2000-00016,Can you describe your battery life?,chat
deepseek2000-00017,I need advice on choosing a gift.,chat
deepseek2000-00018,What did you have for breakfast?,chat
deepseek2000-00019,Stop moving and stay still.,motion_query
deepseek2000-00020,Describe your typical day.,chat
deepseek2000-00021,What are your main functions?,chat
deepseek2000-00022,Bow like a performer.,motion_query
deepseek2000-00023,Act out the emotion of surprise.,motion_query
deepseek2000-00024,How can I improve my memory?,chat
deepseek2000-00025,Raise your voice so I can hear you.,motion_query
deepseek2000-00026,How do I start a garden?,chat
deepseek2000-00027,Point at the red button and then press it.,motion_query
deepseek2000-00028,Slowly walk backwards.,motion_query
deepseek2000-00029,Show me where the exit is using a gesture.,motion_query
deepseek2000-00030,Can you summarize this article for me?,chat
deepseek2000-00031,Can you define artificial intelligence?,chat
deepseek2000-00032,What is the Eiffel Tower made of?,chat
deepseek2000-00033,Hug this plush toy.,motion_query
deepseek2000-00034,Hold this for me.,motion_query
deepseek2000-00035,What are the benefits of meditation?,chat
deepseek2000-00036,Kneel on one knee.,motion_query
deepseek2000-00037,"I'm nervous about my presentation, any tips?",chat
deepseek2000-00038,Can you tell me about your battery life?,chat
deepseek2000-00039,Kneel down.,motion_query
deepseek2000-00040,Please move the chair to the left.,motion_query
deepseek2000-00041,How do I get rid of a cold?,chat
deepseek2000-00042,What's your opinion on electric cars?,chat
deepseek2000-00043,What are the best practices for data privacy?,chat
deepseek2000-00044,Point to the exit.,motion_query
deepseek2000-00045,What are the symptoms of the flu?,chat
deepseek2000-00046,Can you list the steps to bake bread?,chat
deepseek2000-00047,Act out eating an apple.,motion_query
deepseek2000-00048,Can you guide me through this maze?,motion_query
deepseek2000-00049,Lean to your right.,motion_query
deepseek2000-00050,Do you think I should take the job offer?,chat
deepseek2000-00051,Go to the kitchen and bring me a glass of water.,motion_query
deepseek2000-00052,How do I grow tomatoes in a pot?,chat
deepseek2000-00053,Do a silly dance.,motion_query
deepseek2000-00054,Explain the concept of time dilation.,chat
deepseek2000-00055,Can you solve this riddle: I speak without a mouth and hear without ears. What am I?,chat
deepseek2000-00056,What time does the museum close today?,chat
deepseek2000-00057,Move to the left so I can see the screen.,motion_query
deepseek2000-00058,I feel a bit stressed today.,chat
deepseek2000-00059,Use a thumbs up for yes.,motion_query
deepseek2000-00060,What are the benefits of exercise?,chat
deepseek2000-00061,Wink with one eye.,motion_query
deepseek2000-00062,Freeze! Don't move.,motion_query
deepseek2000-00063,What are the ingredients in a Caesar salad?,chat
deepseek2000-00064,What gestures can you make?,chat
deepseek2000-00065,Lift the box onto the cart.,motion_query
deepseek2000-00066,Turn around slowly.,motion_query
deepseek2000-00067,Come closer so I can show you something.,motion_query
deepseek2000-00068,What are your hobbies?,chat
deepseek2000-00069,Act sad.,motion_query
deepseek2000-00070,Go to the kitchen and bring me a glass.,motion_query
deepseek2000-00071,Can you help me understand this quote?,chat
deepseek2000-00072,Explain how photosynthesis works.,chat
deepseek2000-00073,Stop moving immediately.,motion_query
deepseek2000-00074,Push the button on the table.,motion_query
deepseek2000-00075,What are the warning signs of a stroke?,chat
deepseek2000-00076,Shake your head for no.,motion_query
deepseek2000-00077,Step back two meters.,motion_query
deepseek2000-00078,What are the best practices for cybersecurity?,chat
deepseek2000-00079,Point to the book on the top shelf.,motion_query
deepseek2000-00080,Tell me something inspiring.,chat
deepseek2000-00081,Point at the person in red.,motion_query
deepseek2000-00082,What is the difference between AI and machine learning?,chat
deepseek2000-00083,Can you recommend a good podcast?,chat
deepseek2000-00084,What are the health benefits of meditation?,chat
deepseek2000-00085,Can you give me directions to the museum?,chat
deepseek2000-00086,Hold this box while I get the tape.,motion_query
deepseek2000-00087,Look at the painting on the wall.,motion_query
deepseek2000-00088,What is the best way to organize a closet?,chat
deepseek2000-00089,Lift the lid of the box.,motion_query
deepseek2000-00090,Can you explain how to use this software?,chat
deepseek2000-00091,Tell me about the history of robotics.,chat
deepseek2000-00092,How do I change a tire?,chat
deepseek2000-00093,Go to the door and open it.,motion_query
deepseek2000-00094,Please step aside.,motion_query
deepseek2000-00095,Carry these files to the desk.,motion_query
deepseek2000-00096,Can you give me a verbal tutorial on how to change a tire?,chat
deepseek2000-00097,Push the door open with your hand.,motion_query
deepseek2000-00098,Tell me a fun fact about dolphins.,chat
deepseek2000-00099,Point at the light switch.,motion_query
deepseek2000-00100,Gesture 'come here' with your hand.,motion_query
deepseek2000-00101,Push the button on the console.,motion_query
deepseek2000-00102,Point towards the nearest exit.,motion_query
deepseek2000-00103,Arrange the books alphabetically.,motion_query
deepseek2000-00104,Tilt your head as a sign of curiosity.,motion_query
deepseek2000-00105,How do I fix a clogged sink?,chat
deepseek2000-00106,Imitate my dance move.,motion_query
deepseek2000-00107,Explain quantum computing in simple terms.,chat
deepseek2000-00108,Come closer and whisper to me.,motion_query
deepseek2000-00109,Stand still until I come back.,motion_query
deepseek2000-00110,Bring me the book from the table.,motion_query
deepseek2000-00111,Open the door.,motion_query
deepseek2000-00112,Wave your hand to greet the visitor.,motion_query
deepseek2000-00113,How do I learn to play the guitar?,chat
deepseek2000-00114,What is your operating system?,chat
deepseek2000-00115,What is the best way to learn Python?,chat
deepseek2000-00116,Pick up that pencil from the floor.,motion_query
deepseek2000-00117,Point to the red book on the shelf.,motion_query
deepseek2000-00118,Point at the object I'm holding.,motion_query
deepseek2000-00119,What are some good study techniques?,chat
deepseek2000-00120,How do I calm down before a big presentation?,chat
deepseek2000-00121,How do I say 'hello' in Spanish?,chat
deepseek2000-00122,What is your emergency protocol?,chat
deepseek2000-00123,How do I install a new program on my computer?,chat
deepseek2000-00124,Bring me that cup.,motion_query
deepseek2000-00125,Can you explain the concept of gravity?,chat
deepseek2000-00126,How do I set up a new email account?,chat
deepseek2000-00127,Can you remind me of my schedule today?,chat
deepseek2000-00128,Sit down.,motion_query
deepseek2000-00129,Throw the ball to me.,motion_query
deepseek2000-00130,Do you know any good Italian restaurants nearby?,chat
deepseek2000-00131,What are some good books to read?,chat
deepseek2000-00132,Pick up that pen from the floor.,motion_query
deepseek2000-00133,What should I do to improve my posture?,chat
deepseek2000-00134,Act out a scene from a play.,motion_query
deepseek2000-00135,What is the most popular sport in the world?,chat
deepseek2000-00136,Approach the whiteboard.,motion_query
deepseek2000-00137,Do you think I should take a break?,chat
deepseek2000-00138,Throw the ball at the target.,motion_query
deepseek2000-00139,What is the weather forecast for tomorrow?,chat
deepseek2000-00140,Stretch your arms out wide.,motion_query
deepseek2000-00141,How long does it take to cook a turkey?,chat
deepseek2000-00142,Pick up the book from the table.,motion_query
deepseek2000-00143,Kick the ball.,motion_query
deepseek2000-00144,How do I set up a meeting in Outlook?,chat
deepseek2000-00145,Can you plan a weekend itinerary for me?,chat
deepseek2000-00146,Raise your arm if you understand.,motion_query
deepseek2000-00147,Step aside to let people pass.,motion_query
deepseek2000-00148,How does solar power work?,chat
deepseek2000-00149,Put the book on the shelf.,motion_query
deepseek2000-00150,Point to the picture on the wall.,motion_query
deepseek2000-00151,Halt and do not move.,motion_query
deepseek2000-00152,"Just tell me the answer, no demonstrations.",chat
deepseek2000-00153,Turn your body to face the window.,motion_query
deepseek2000-00154,Can you help me choose a gift?,chat
deepseek2000-00155,Do you have feelings?,chat
deepseek2000-00156,Could you explain quantum physics in simple terms?,chat
deepseek2000-00157,"I'm having trouble with my computer, any advice?",chat
deepseek2000-00158,Lie down on the mat.,motion_query
deepseek2000-00159,What's the best time to exercise?,chat
deepseek2000-00160,Is it safe to leave you charging overnight?,chat
deepseek2000-00161,What is the difference between Java and Python?,chat
deepseek2000-00162,Give me a fun fact.,chat
deepseek2000-00163,Hold still while I scan you.,motion_query
deepseek2000-00164,Turn on the light.,motion_query
deepseek2000-00165,Lift your arm to wave.,motion_query
deepseek2000-00166,Can you explain quantum entanglement?,chat
deepseek2000-00167,"Lower your arm, it's too high.",motion_query
deepseek2000-00168,Demonstrate a yoga pose.,motion_query
deepseek2000-00169,Raise both hands in the air.,motion_query
deepseek2000-00170,Orient your camera toward the whiteboard.,motion_query
deepseek2000-00171,Act as if you are surprised.,motion_query
deepseek2000-00172,Fetch my slippers.,motion_query
deepseek2000-00173,Can you explain quantum computing?,chat
deepseek2000-00174,Turn your back to me.,motion_query
deepseek2000-00175,Recommend a good movie.,chat
deepseek2000-00176,Can you spin around once?,motion_query
deepseek2000-00177,Can you help me with this math problem?,chat
deepseek2000-00178,I feel a bit sad today.,chat
deepseek2000-00179,Tell me about yourself.,chat
deepseek2000-00180,What are your favorite movies?,chat
deepseek2000-00181,How do I reset my network settings?,chat
deepseek2000-00182,Applaud when I finish.,motion_query
deepseek2000-00183,Tell me about your programming framework.,chat
deepseek2000-00184,Fetch me that remote control.,motion_query
deepseek2000-00185,Explain the process of photosynthesis.,chat
deepseek2000-00186,Step forward two paces.,motion_query
deepseek2000-00187,How do I calm a crying baby?,chat
deepseek2000-00188,Nod to confirm what I said.,motion_query
deepseek2000-00189,What ingredients do I need for a chocolate cake?,chat
deepseek2000-00190,Answer by raising your hand.,motion_query
deepseek2000-00191,Hold still while I clean your sensors.,motion_query
deepseek2000-00192,How do I create a budget?,chat
deepseek2000-00193,Carry this box to the car.,motion_query
deepseek2000-00194,How does a steam engine work?,chat
deepseek2000-00195,What does the term 'machine learning' mean?,chat
deepseek2000-00196,Do you think I should take the train or drive?,chat
deepseek2000-00197,Pick up that book from the floor.,motion_query
deepseek2000-00198,What is the latest news?,chat
deepseek2000-00199,Turn towards the door and nod.,motion_query
deepseek2000-00200,"I feel lonely, can you talk to me?",chat
deepseek2000-00201,Walk to the door and wait.,motion_query
deepseek2000-00202,Demonstrate a squat.,motion_query
deepseek2000-00203,Clap your hands.,motion_query
deepseek2000-00204,Please move to the left.,motion_query
deepseek2000-00205,What is your battery percentage?,chat
deepseek2000-00206,Act out being angry.,motion_query
deepseek2000-00207,Lift your arm up.,motion_query
deepseek2000-00208,How do I say 'thank you' in Japanese?,chat
deepseek2000-00209,Go to the whiteboard and point to the formula.,motion_query
deepseek2000-00210,What steps should I take to learn guitar?,chat
deepseek2000-00211,What's the best pizza topping?,chat
deepseek2000-00212,Dance a little jig.,motion_query
deepseek2000-00213,Back up two steps.,motion_query
deepseek2000-00214,How do I plant a seed?,chat
deepseek2000-00215,Show me the dance move.,motion_query
deepseek2000-00216,Hand me the scissors.,motion_query
deepseek2000-00217,Stop and don't move.,motion_query
deepseek2000-00218,"My phone battery drains fast, any tips?",chat
deepseek2000-00219,Take a step back.,motion_query
deepseek2000-00220,Stop walking.,motion_query
deepseek2000-00221,Can you recommend a good book to read?,chat
deepseek2000-00222,What is the best way to practice gratitude?,chat
deepseek2000-00223,Use your hand to gesture 'come here'.,motion_query
deepseek2000-00224,Move your head to look at the clock.,motion_query
deepseek2000-00225,How do I negotiate a salary?,chat
deepseek2000-00226,Push the button on the control panel.,motion_query
deepseek2000-00227,Should I take the train or the bus?,chat
deepseek2000-00228,Can you remind me to buy milk at 5 PM?,chat
deepseek2000-00229,What is the difference between a virus and bacteria?,chat
deepseek2000-00230,Recommend a good book for me.,chat
deepseek2000-00231,Recommend a good book to read.,chat
deepseek2000-00232,Climb the stairs slowly.,motion_query
deepseek2000-00233,How do I apologize effectively?,chat
deepseek2000-00234,Can you recommend a good podcast on history?,chat
deepseek2000-00235,What is the population of China?,chat
deepseek2000-00236,Raise your arm.,motion_query
deepseek2000-00237,Hand me the remote.,motion_query
deepseek2000-00238,How long does it take to bake a cake?,chat
deepseek2000-00239,"I'm having a tough day, can you say something encouraging?",chat
deepseek2000-00240,Throw the crumpled paper in the bin.,motion_query
deepseek2000-00241,Shake your head 'no'.,motion_query
deepseek2000-00242,Are there any good restaurants nearby?,chat
deepseek2000-00243,Remain still while I take a photo.,motion_query
deepseek2000-00244,Go to the kitchen and check if the oven is on.,motion_query
deepseek2000-00245,Can you tell me a story about a dragon?,chat
