id,utterance,label
deepseek3000-00001,Point to the red book on the shelf.,motion_query
deepseek3000-00002,Walk behind me and follow my path.,motion_query
deepseek3000-00003,Nod your head twice.,motion_query
deepseek3000-00004,Can you recommend a good book for learning Python?,chat
deepseek3000-00005,Pick up the trash and throw it away.,motion_query
deepseek3000-00006,Wave your hand to greet the visitor.,motion_query
deepseek3000-00007,Can you translate 'hello' into Spanish?,chat
deepseek3000-00008,Pull the lever downward.,motion_query
deepseek3000-00009,Kick the ball.,motion_query
deepseek3000-00010,Do you have any suggestions for weekend activities?,chat
deepseek3000-00011,Trace a circle in the air with your finger.,motion_query
deepseek3000-00012,What is the population of Canada?,chat
deepseek3000-00013,What are some good restaurants nearby?,chat
deepseek3000-00014,Is it rude to ask about salary?,chat
deepseek3000-00015,Can you solve this math problem verbally?,chat
deepseek3000-00016,Show me your palm.,motion_query
deepseek3000-00017,Show me how you do a happy dance.,motion_query
deepseek3000-00018,Can you help me write a poem?,chat
deepseek3000-00019,What's the weather forecast today?,chat
deepseek3000-00020,Can you remind me to buy milk at 5pm?,chat
deepseek3000-00021,How long does it take to charge your battery?,chat
deepseek3000-00022,Gesture for me to come closer.,motion_query
deepseek3000-00023,What's the difference between AI and machine learning?,chat
deepseek3000-00024,How do you store data internally?,chat
deepseek3000-00025,Can you help me plan my weekend itinerary?,chat
deepseek3000-00026,Move the box to the left.,motion_query
deepseek3000-00027,What should I pack for a hiking trip?,chat
deepseek3000-00028,Make an OK sign.,motion_query
deepseek3000-00029,Can you recommend a good podcast?,chat
deepseek3000-00030,Do you like music?,chat
deepseek3000-00031,Demonstrate the proper way to lift a box.,motion_query
deepseek3000-00032,Explain the concept of blockchain.,chat
deepseek3000-00033,Move the red block to the left.,motion_query
deepseek3000-00034,Hold the tray level.,motion_query
deepseek3000-00035,What is the history of the Eiffel Tower?,chat
deepseek3000-00036,Do you like classical music?,chat
deepseek3000-00037,Point to the largest object in the room.,motion_query
deepseek3000-00038,Can you write a poem about spring?,chat
deepseek3000-00039,What is the Eiffel Tower made of?,chat
deepseek3000-00040,Run away from the obstacle.,motion_query
deepseek3000-00041,Hold still while I scan you.,motion_query
deepseek3000-00042,Reach for the top shelf.,motion_query
deepseek3000-00043,Point to the exit sign.,motion_query
deepseek3000-00044,Define 'serendipity'.,chat
deepseek3000-00045,Point to the red object.,motion_query
deepseek3000-00046,Lower your hand slowly.,motion_query
deepseek3000-00047,Bend forward to pick up the paper.,motion_query
deepseek3000-00048,Point to the tallest building.,motion_query
deepseek3000-00049,Tell me a fun fact about Mars.,chat
deepseek3000-00050,Do you think I should take a break?,chat
deepseek3000-00051,Do you think I should take the train or drive?,chat
deepseek3000-00052,How does GPS work?,chat
deepseek3000-00053,Can you remind me to buy groceries at 5 PM?,chat
deepseek3000-00054,What should I pack for a beach vacation?,chat
deepseek3000-00055,Pick up the box and place it on the table.,motion_query
deepseek3000-00056,Act like you are happy.,motion_query
deepseek3000-00057,Can you help me plan a vacation?,chat
deepseek3000-00058,Can you list the steps to bake a cake?,chat
deepseek3000-00059,Demonstrate how to do a push-up.,motion_query
deepseek3000-00060,Act out the scene where you are surprised.,motion_query
deepseek3000-00061,I need help planning a surprise party.,chat
deepseek3000-00062,Stand on one foot.,motion_query
deepseek3000-00063,Can you suggest a recipe for dinner?,chat
deepseek3000-00064,How do I plant a tree?,chat
deepseek3000-00065,Do you have any tips for public speaking?,chat
deepseek3000-00066,"I need emotional support, just listen to me.",chat
deepseek3000-00067,Can you summarize today's news?,chat
deepseek3000-00068,Reach toward the book.,motion_query
deepseek3000-00069,Go to the kitchen and bring a glass.,motion_query
deepseek3000-00070,Can you give me advice on public speaking?,chat
deepseek3000-00071,What's a good way to start a conversation?,chat
deepseek3000-00072,What would you do if you encountered a staircase?,chat
deepseek3000-00073,Can you list your limitations?,chat
deepseek3000-00074,Hold still for calibration.,motion_query
deepseek3000-00075,Turn and look at the painting on the wall.,motion_query
deepseek3000-00076,I want you to act out the emotion of surprise with your face.,motion_query
deepseek3000-00077,Hand me the scissors.,motion_query
deepseek3000-00078,Turn around and face the wall.,motion_query
deepseek3000-00079,Pick up that book from the table.,motion_query
deepseek3000-00080,What does 'serendipity' mean?,chat
deepseek3000-00081,What are your safety features?,chat
deepseek3000-00082,Hand me the remote control from the table.,motion_query
deepseek3000-00083,Give me a compliment.,chat
deepseek3000-00084,Carry this box to the car.,motion_query
deepseek3000-00085,"Lower your arm, please.",motion_query
deepseek3000-00086,How do I clean a stained carpet?,chat
deepseek3000-00087,What is the fastest way to the airport?,chat
deepseek3000-00088,Move closer to me.,motion_query
deepseek3000-00089,Hand me the red folder.,motion_query
deepseek3000-00090,Can you list your available colors?,chat
deepseek3000-00091,Point to the book on the shelf.,motion_query
deepseek3000-00092,Can you explain blockchain technology?,chat
deepseek3000-00093,Recommend a good book for self-improvement.,chat
deepseek3000-00094,Can you define 'machine learning'?,chat
deepseek3000-00095,Do you think I should accept the job offer?,chat
deepseek3000-00096,Show me how to do a yoga pose.,motion_query
deepseek3000-00097,Can you help me with this box?,chat
deepseek3000-00098,How do you process speech?,chat
deepseek3000-00099,Answer with a thumbs up.,motion_query
